Country Name,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Syrian Arab Republic,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,..,..,..,11907000000,13596800000,16210992197,20289329071,16026286880,19918610841.2,..,..,..,..,..
Syrian Arab Republic,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,6.8075320787,6.1430674472,0.2424835621,-1.236807157,0.781266998,0.8104143023,..,..,..,..,..,..,..,..
Syrian Arab Republic,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,62847000000,77864000000,-37023000000,-151422000000,-7326000000,-52990000000,..,..,..,..,..,..,..,..
Syrian Arab Republic,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,62847000000,62385000000,3072000000,-18631733000,13320407000,16352750500,..,..,..,..,..,..,..,..
Syrian Arab Republic,External balance on goods and services (current US$),NE.RSB.GNFS.CD,1315616495.7086,1296177020.56929,60831683.1683168,-356929750.957854,260418514.173998,327447947.537044,..,..,..,..,..,..,..,..
Syrian Arab Republic,"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,309.2564116829,268.3495041953,186.2869403533,46.9826152683,40.9864526948,35.1224831322,26.4861690651,35.4026172282,26.4232382568,..,..,..,..,..
Syrian Arab Republic,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,120.540710334,103.8959723003,78.2270152191,19.9937935838,17.2035315359,14.3361166827,..,..,..,..,..,..,..,..
Syrian Arab Republic,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,15344547000,15058718000,15843838000,4610862000,4551565000,4381243000,4080245000,3730676000,3502734000,3290955000,3227167000,3145154000,3001268000,..
Syrian Arab Republic,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,16480200000,16126994000,16156549000,5031272000,4922650000,4982056000,4737002000,4480423000,4275639000,3997657000,3947796000,3898388000,3664383000,..
Syrian Arab Republic,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,404000,404000,0,0,0,0,0,0,0,0,0,0,0,..
Syrian Arab Republic,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,16479796000,16126590000,16156549000,5031272000,4922650000,4982056000,4737002000,4480423000,4275639000,3997657000,3947796000,3898388000,3664383000,..
Syrian Arab Republic,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,..
